sched,app,period,step_time
dist,leanmd,long,379.055977
dist,leanmd,long,152.835131
dist,leanmd,long,418.729067
dist,leanmd,long,109.067917
dist,leanmd,long,361.709118
dist,leanmd,long,167.958975
dist,leanmd,long,395.190954
dist,leanmd,long,104.526043
dist,leanmd,long,359.653950
dist,leanmd,long,143.780947
dist,leanmd,long,462.302923
dist,leanmd,long,192.781925
dist,leanmd,long,255.196095
dist,leanmd,long,167.454958
dist,leanmd,long,420.267105
dist,leanmd,long,107.861042
dist,leanmd,long,334.858179
dist,leanmd,long,135.190010
dist,leanmd,long,392.537117
dist,leanmd,long,132.558107
dist,leanmd,long,402.090073
dist,leanmd,long,96.448183
dist,leanmd,long,332.283974
dist,leanmd,long,299.857140
dist,leanmd,long,211.560965
dist,leanmd,long,309.950113
dist,leanmd,long,254.975080
dist,leanmd,long,310.497999
dist,leanmd,long,238.204002
dist,leanmd,long,290.580034
dist,leanmd,long,268.646002
dist,leanmd,long,432.929993
dist,leanmd,long,187.903881
dist,leanmd,long,177.556992
dist,leanmd,long,615.576029
dist,leanmd,long,31.239986
dist,leanmd,long,291.640043
dist,leanmd,long,222.575903
dist,leanmd,long,315.950871
dist,leanmd,long,234.813929
dist,leanmd,long,292.862177
dist,leanmd,long,193.104982
dist,leanmd,long,354.441166
dist,leanmd,long,394.284964
dist,leanmd,long,365.494967
dist,leanmd,long,131.745100
dist,leanmd,long,439.059973
dist,leanmd,long,161.638021
dist,leanmd,long,411.938190
dist,leanmd,long,90.133905
dist,leanmd,long,206.696033
dist,leanmd,long,399.205208
dist,leanmd,long,705.230951
dist,leanmd,long,435.060978
dist,leanmd,long,465.576887
dist,leanmd,long,250.611067
dist,leanmd,long,215.183020
dist,leanmd,long,185.639858
dist,leanmd,long,148.794889
dist,leanmd,long,170.726061
dist,leanmd,long,218.559027
dist,leanmd,long,225.018024
dist,leanmd,long,390.959024
dist,leanmd,long,261.054993
dist,leanmd,long,226.114035
dist,leanmd,long,330.651999
dist,leanmd,long,415.457964
dist,leanmd,long,188.974857
dist,leanmd,long,324.938059
dist,leanmd,long,162.730932
dist,leanmd,long,331.126928
dist,leanmd,long,266.656876
dist,leanmd,long,263.884783
dist,leanmd,long,256.622076
dist,leanmd,long,386.837959
dist,leanmd,long,143.848896
dist,leanmd,long,381.031990
dist,leanmd,long,119.558096
dist,leanmd,long,350.848913
dist,leanmd,long,144.206047
dist,leanmd,long,381.098032
dist,leanmd,long,133.730173
dist,leanmd,long,375.948906
dist,leanmd,long,142.783880
dist,leanmd,long,402.705193
dist,leanmd,long,119.482994
dist,leanmd,long,354.729176
dist,leanmd,long,151.366949
dist,leanmd,long,400.551081
dist,leanmd,long,119.770050
dist,leanmd,long,326.731920
dist,leanmd,long,149.488926
dist,leanmd,long,456.610918
dist,leanmd,long,100.929976
dist,leanmd,long,395.545959
dist,leanmd,long,151.627779
dist,leanmd,long,448.282957
dist,leanmd,long,106.860876
dist,leanmd,long,378.839970
dist,leanmd,long,157.644033
dist,leanmd,long,428.668022
dist,leanmd,long,89.992046
dist,leanmd,long,213.721037
dist,leanmd,long,279.654026
dist,leanmd,long,234.113932
dist,leanmd,long,318.328142
dist,leanmd,long,276.315928
dist,leanmd,long,232.949972
dist,leanmd,long,478.683949
dist,leanmd,long,114.217997
dist,leanmd,long,409.723043
dist,leanmd,long,144.338131
dist,leanmd,long,309.280157
dist,leanmd,long,144.562960
dist,leanmd,long,495.660782
dist,leanmd,long,117.504120
dist,leanmd,long,401.224136
dist,leanmd,long,121.898174
dist,leanmd,long,446.028948
dist,leanmd,long,118.951082
dist,leanmd,long,429.874182
dist,leanmd,long,106.644154
dist,leanmd,long,304.274797
dist,leanmd,long,313.472033
dist,leanmd,long,259.257078
dist,leanmd,long,254.858971
dist,leanmd,long,524.965048
dist,leanmd,long,49.288034
dist,leanmd,long,160.899878
dist,leanmd,long,332.064152
dist,leanmd,long,263.283014
dist,leanmd,long,378.572941
dist,leanmd,long,207.761049
dist,leanmd,long,345.653057
dist,leanmd,long,198.010206
dist,leanmd,long,286.229849
dist,leanmd,long,277.143002
dist,leanmd,long,316.734076
dist,leanmd,long,332.911015
dist,leanmd,long,225.074053
dist,leanmd,long,265.882969
dist,leanmd,long,247.035980
dist,leanmd,long,272.404194
dist,leanmd,long,281.637907
dist,leanmd,long,278.491020
dist,leanmd,long,275.146961
dist,leanmd,long,379.951954
dist,leanmd,long,220.243931
dist,leanmd,long,261.803865
dist,leanmd,long,283.005953
dist,leanmd,long,495.615005
dist,leanmd,long,150.438070
dist,leanmd,long,627.961874
dist,leanmd,long,437.378883
dist,leanmd,long,396.193027
dist,leanmd,long,220.103979
dist,leanmd,long,194.974184
dist,leanmd,long,176.054001
dist,leanmd,long,204.797983
dist,leanmd,long,245.429039
dist,leanmd,long,248.482943
dist,leanmd,long,234.986067
dist,leanmd,long,404.057980
dist,leanmd,long,254.936934
dist,leanmd,long,246.068001
dist,leanmd,long,296.642065
dist,leanmd,long,401.362181
dist,leanmd,long,214.083910
dist,leanmd,long,318.596840
dist,leanmd,long,190.787077
dist,leanmd,long,322.262049
dist,leanmd,long,262.068033
