sched,app,step_time
distributed,leanmd,846.566916
distributed,leanmd,687.999964
distributed,leanmd,1390.361071
distributed,leanmd,942.401886
distributed,leanmd,1582.282066
distributed,leanmd,323.280096
distributed,leanmd,1583.831072
distributed,leanmd,467.816114
distributed,leanmd,1560.443163
distributed,leanmd,739.449978
distributed,leanmd,1312.925100
distributed,leanmd,364.123821
distributed,leanmd,1581.584930
distributed,leanmd,865.383148
distributed,leanmd,1471.403837
distributed,leanmd,542.428017
distributed,leanmd,1404.630899
distributed,leanmd,968.137980
distributed,leanmd,1262.758970
distributed,leanmd,1011.110067
distributed,leanmd,1109.835863
distributed,leanmd,644.478083
distributed,leanmd,1553.723097
distributed,leanmd,826.009035
distributed,leanmd,1624.140978
distributed,leanmd,729.556084
distributed,leanmd,1114.589930
distributed,leanmd,829.235077
distributed,leanmd,1258.544922
distributed,leanmd,744.059086
distributed,leanmd,1055.423021
distributed,leanmd,397.189856
distributed,leanmd,2017.004013
distributed,leanmd,429.740906
distributed,leanmd,1616.832018
distributed,leanmd,256.391048
distributed,leanmd,1547.238111
distributed,leanmd,648.068905
distributed,leanmd,1415.034056
distributed,leanmd,600.721836
distributed,leanmd,1474.222898
distributed,leanmd,414.883137
distributed,leanmd,1722.055912
distributed,leanmd,358.212948
distributed,leanmd,1439.069986
distributed,leanmd,754.081964
distributed,leanmd,1622.973204
distributed,leanmd,288.838863
distributed,leanmd,1509.691954
distributed,leanmd,466.323137
distributed,leanmd,1547.681093
distributed,leanmd,357.012987
distributed,leanmd,1555.936813
distributed,leanmd,822.956085
distributed,leanmd,1479.059935
distributed,leanmd,504.403830
distributed,leanmd,1471.065998
distributed,leanmd,684.220076
distributed,leanmd,1406.003952
distributed,leanmd,330.816031
distributed,leanmd,1432.602882
distributed,leanmd,775.552988
distributed,leanmd,2756.428957
distributed,leanmd,1457.669973
distributed,leanmd,2017.822027
distributed,leanmd,1293.260098
distributed,leanmd,1930.090904
distributed,leanmd,1607.602119
distributed,leanmd,1646.421909
distributed,leanmd,1581.912994
distributed,leanmd,1557.618856
distributed,leanmd,1468.224049
distributed,leanmd,2075.431824
distributed,leanmd,862.843990
distributed,leanmd,2326.510906
distributed,leanmd,412.712097
distributed,leanmd,1820.567846
distributed,leanmd,1223.004818
distributed,leanmd,1715.842009
distributed,leanmd,1139.105082
distributed,leanmd,1754.334211
distributed,leanmd,1100.235224
distributed,leanmd,1373.796940
distributed,leanmd,537.084103
distributed,leanmd,1836.566925
distributed,leanmd,632.755041
distributed,leanmd,1952.090979
distributed,leanmd,507.039070
distributed,leanmd,1802.442074
distributed,leanmd,719.995975
distributed,leanmd,1703.966141
distributed,leanmd,288.342953
