app,sched,plat_size,wildmetric,sched_time
lb_test,Dummy,1728,Ring,0.041917
lb_test,Dummy,1728,Ring,0.000362
lb_test,Dummy,1728,Ring,0.041967
lb_test,Dummy,1728,Ring,0.000222
lb_test,Dummy,1728,Ring,0.304767
lb_test,Dummy,1728,Ring,0.000186
lb_test,Dummy,1728,Ring,0.037522
lb_test,Dummy,1728,Ring,0.000191
lb_test,Dummy,1728,Ring,0.037430
lb_test,Dummy,1728,Ring,0.000221
lb_test,Dummy,1728,Ring,0.303708
lb_test,Dummy,1728,Ring,0.000188
lb_test,Dummy,1728,Ring,0.037581
lb_test,Dummy,1728,Ring,0.000188
lb_test,Dummy,1728,Ring,0.037854
lb_test,Dummy,1728,Ring,0.000225
lb_test,Dummy,1728,Ring,0.307669
lb_test,Dummy,1728,Ring,0.000191
lb_test,Dummy,1728,Ring,0.038128
lb_test,Dummy,1728,Ring,0.000199
lb_test,Dummy,1728,Ring,0.037641
lb_test,Dummy,1728,Ring,0.000218
lb_test,Dummy,1728,Ring,0.305719
lb_test,Dummy,1728,Ring,0.000327
lb_test,Dummy,1728,Ring,0.038694
lb_test,Dummy,1728,Ring,0.000329
lb_test,Dummy,1728,Ring,0.038289
lb_test,Dummy,1728,Ring,0.000222
lb_test,Dummy,1728,Ring,0.309930
lb_test,Dummy,1728,Ring,0.000189
lb_test,Dummy,1728,Ring,0.041201
lb_test,Dummy,1728,Ring,0.000192
lb_test,Dummy,1728,Ring,0.041153
lb_test,Dummy,1728,Ring,0.000220
lb_test,Dummy,1728,Ring,0.310162
lb_test,Dummy,1728,Ring,0.000187
lb_test,Dummy,1728,Ring,0.041098
lb_test,Dummy,1728,Ring,0.000182
lb_test,Dummy,1728,Ring,0.041545
lb_test,Dummy,1728,Ring,0.000221
lb_test,Dummy,1728,Ring,0.304574
lb_test,Dummy,1728,Ring,0.000187
lb_test,Dummy,1728,Ring,0.038025
lb_test,Dummy,1728,Ring,0.000190
lb_test,Dummy,1728,Ring,0.037698
lb_test,Dummy,1728,Ring,0.000222
lb_test,Dummy,1728,Ring,0.304844
lb_test,Dummy,1728,Ring,0.000186
lb_test,Dummy,1728,Ring,0.037517
lb_test,Dummy,1728,Ring,0.000193
lb_test,Dummy,1728,Ring,0.037556
lb_test,Dummy,1728,Ring,0.000222
lb_test,Dummy,1728,Ring,0.310712
lb_test,Dummy,1728,Ring,0.000188
lb_test,Dummy,1728,Ring,0.041194
lb_test,Dummy,1728,Ring,0.000193
lb_test,Dummy,1728,Ring,0.041135
lb_test,Dummy,1728,Ring,0.000225
lb_test,Dummy,1728,Ring,0.307659
lb_test,Dummy,1728,Ring,0.000193
lb_test,Dummy,1728,Ring,0.041278
lb_test,Dummy,1728,Ring,0.000198
lb_test,Dummy,1728,Ring,0.041167
lb_test,Dummy,1728,Ring,0.000229
lb_test,Dummy,1728,Ring,0.303863
lb_test,Dummy,1728,Ring,0.000189
lb_test,Dummy,1728,Ring,0.038038
lb_test,Dummy,1728,Ring,0.000192
lb_test,Dummy,1728,Ring,0.037715
lb_test,Dummy,1728,Ring,0.000226
lb_test,Dummy,1728,Ring,0.307272
lb_test,Dummy,1728,Ring,0.000187
lb_test,Dummy,1728,Ring,0.037714
lb_test,Dummy,1728,Ring,0.000190
lb_test,Dummy,1728,Ring,0.037557
lb_test,PackDrop,1728,Ring,1.988892
lb_test,PackDrop,1728,Ring,0.678630
lb_test,PackDrop,1728,Ring,0.155120
lb_test,PackDrop,1728,Ring,1.991618
lb_test,PackDrop,1728,Ring,0.684634
lb_test,PackDrop,1728,Ring,0.149194
lb_test,PackDrop,1728,Ring,2.005188
lb_test,PackDrop,1728,Ring,0.691823
lb_test,PackDrop,1728,Ring,0.146621
lb_test,PackDrop,1728,Ring,2.008426
lb_test,PackDrop,1728,Ring,0.686826
lb_test,PackDrop,1728,Ring,0.147083
lb_test,PackDrop,1728,Ring,1.996749
lb_test,PackDrop,1728,Ring,0.688951
lb_test,PackDrop,1728,Ring,0.152568
lb_test,PackDrop,1728,Ring,1.989188
lb_test,PackDrop,1728,Ring,0.685457
lb_test,PackDrop,1728,Ring,0.148391
lb_test,PackDrop,1728,Ring,2.014313
lb_test,PackDrop,1728,Ring,0.678679
lb_test,PackDrop,1728,Ring,0.154439
lb_test,PackDrop,1728,Ring,1.980430
lb_test,PackDrop,1728,Ring,0.686537
lb_test,PackDrop,1728,Ring,0.149953
lb_test,PackDrop,1728,Ring,2.008465
lb_test,PackDrop,1728,Ring,0.675601
lb_test,PackDrop,1728,Ring,0.150731
lb_test,PackDrop,1728,Ring,2.007021
lb_test,PackDrop,1728,Ring,0.684692
lb_test,PackDrop,1728,Ring,0.148191
lb_test,PackDrop,1728,Ring,1.986875
lb_test,PackDrop,1728,Ring,0.685805
lb_test,PackDrop,1728,Ring,0.151395
lb_test,PackDrop,1728,Ring,1.990571
lb_test,PackDrop,1728,Ring,0.688010
lb_test,PackDrop,1728,Ring,0.155509
lb_test,PackDrop,1728,Ring,2.000808
lb_test,PackDrop,1728,Ring,0.682427
lb_test,PackDrop,1728,Ring,0.150680
lb_test,PackDrop,1728,Ring,1.992618
lb_test,PackDrop,1728,Ring,0.692799
lb_test,PackDrop,1728,Ring,0.148398
lb_test,PackDrop,1728,Ring,1.993106
lb_test,PackDrop,1728,Ring,0.676242
lb_test,PackDrop,1728,Ring,0.148630
lb_test,Greedy,1728,Ring,0.055733
lb_test,Greedy,1728,Ring,1.204974
lb_test,Greedy,1728,Ring,0.058434
lb_test,Greedy,1728,Ring,1.164428
lb_test,Greedy,1728,Ring,0.060199
lb_test,Greedy,1728,Ring,0.737181
lb_test,Greedy,1728,Ring,0.055632
lb_test,Greedy,1728,Ring,1.229072
lb_test,Greedy,1728,Ring,0.058951
lb_test,Greedy,1728,Ring,1.124281
lb_test,Greedy,1728,Ring,0.058713
lb_test,Greedy,1728,Ring,0.987134
lb_test,Greedy,1728,Ring,0.055453
lb_test,Greedy,1728,Ring,1.212887
lb_test,Greedy,1728,Ring,0.058748
lb_test,Greedy,1728,Ring,1.126229
lb_test,Greedy,1728,Ring,0.058366
lb_test,Greedy,1728,Ring,0.966878
lb_test,Greedy,1728,Ring,0.055502
lb_test,Greedy,1728,Ring,1.104627
lb_test,Greedy,1728,Ring,0.058426
lb_test,Greedy,1728,Ring,0.781806
lb_test,Greedy,1728,Ring,0.058631
lb_test,Greedy,1728,Ring,0.950978
lb_test,Greedy,1728,Ring,0.055245
lb_test,Greedy,1728,Ring,1.483562
lb_test,Greedy,1728,Ring,0.058664
lb_test,Greedy,1728,Ring,0.787837
lb_test,Greedy,1728,Ring,0.058749
lb_test,Greedy,1728,Ring,0.806007
lb_test,Greedy,1728,Ring,0.055113
lb_test,Greedy,1728,Ring,1.211011
lb_test,Greedy,1728,Ring,0.058541
lb_test,Greedy,1728,Ring,1.160098
lb_test,Greedy,1728,Ring,0.058320
lb_test,Greedy,1728,Ring,0.724116
lb_test,Greedy,1728,Ring,0.055484
lb_test,Greedy,1728,Ring,1.233781
lb_test,Greedy,1728,Ring,0.058687
lb_test,Greedy,1728,Ring,0.894732
lb_test,Greedy,1728,Ring,0.058606
lb_test,Greedy,1728,Ring,0.723523
lb_test,Greedy,1728,Ring,0.055197
lb_test,Greedy,1728,Ring,1.236563
lb_test,Greedy,1728,Ring,0.058889
lb_test,Greedy,1728,Ring,1.157681
lb_test,Greedy,1728,Ring,0.058687
lb_test,Greedy,1728,Ring,0.822636
lb_test,Greedy,1728,Ring,0.055120
lb_test,Greedy,1728,Ring,1.218633
lb_test,Greedy,1728,Ring,0.057985
lb_test,Greedy,1728,Ring,0.783678
lb_test,Greedy,1728,Ring,0.058241
lb_test,Greedy,1728,Ring,1.013133
lb_test,Greedy,1728,Ring,0.055604
lb_test,Greedy,1728,Ring,1.466873
lb_test,Greedy,1728,Ring,0.058663
lb_test,Greedy,1728,Ring,1.157066
lb_test,Greedy,1728,Ring,0.058519
lb_test,Greedy,1728,Ring,0.814756
lb_test,Greedy,1728,Ring,0.055399
lb_test,Greedy,1728,Ring,1.446236
lb_test,Greedy,1728,Ring,0.058399
lb_test,Greedy,1728,Ring,1.128900
lb_test,Greedy,1728,Ring,0.058583
lb_test,Greedy,1728,Ring,0.817127
lb_test,Greedy,1728,Ring,0.055473
lb_test,Greedy,1728,Ring,1.233733
lb_test,Greedy,1728,Ring,0.058624
lb_test,Greedy,1728,Ring,0.900200
lb_test,Greedy,1728,Ring,0.058344
lb_test,Greedy,1728,Ring,0.950989
lb_test,Greedy,1728,Ring,0.055364
lb_test,Greedy,1728,Ring,1.495277
lb_test,Greedy,1728,Ring,0.058922
lb_test,Greedy,1728,Ring,0.881953
lb_test,Greedy,1728,Ring,0.058673
lb_test,Greedy,1728,Ring,0.818420
lb_test,Greedy,1728,Ring,0.055768
lb_test,Greedy,1728,Ring,1.485327
lb_test,Greedy,1728,Ring,0.058722
lb_test,Greedy,1728,Ring,0.840262
lb_test,Greedy,1728,Ring,0.058316
